trial_id,stage_num,rep_num,trial_num,chat_prompt,model_logits,target
1637,1,5,53,"[{'role': 'user', 'content': 'describer: indiana diamond\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",H
1638,1,5,54,"[{'role': 'user', 'content': 'describer: flat top state diamond\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",J
1639,1,5,55,"[{'role': 'user', 'content': 'describer: sitting grad\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",F
1640,1,5,56,"[{'role': 'user', 'content': 'describer: preacher\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",C
1641,1,5,57,"[{'role': 'user', 'content': 'describer: mouse\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",B
1642,1,5,58,"[{'role': 'user', 'content': 'describer: grad lectern\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",D
1643,1,5,59,"[{'role': 'user', 'content': 'describer: dog ball\ndescriber: diamond on nose dog on hind legs\n'}]","[19.0, 19.625, 20.0, 19.25, 19.75, 20.625, 21.625, 20.5, 19.375, 18.75, 20.375, 20.625]",K
1644,1,5,60,"[{'role': 'user', 'content': 'describer: rabbit ears\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",E
1645,1,6,61,"[{'role': 'user', 'content': 'describer: indiana\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",H
1646,1,6,62,"[{'role': 'user', 'content': 'describer: shadow lightning\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",L
1647,1,6,63,"[{'role': 'user', 'content': 'describer: sitting grad\ndescriber: grad\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",F
1648,1,6,64,"[{'role': 'user', 'content': 'describer: dog and ball -\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",K
1649,1,6,65,"[{'role': 'user', 'content': 'describer: seal\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",G
1650,1,6,66,"[{'role': 'user', 'content': 'describer: flat top diamond\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",J
1651,1,6,67,"[{'role': 'user', 'content': 'describer: skate\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",I
1652,1,6,68,"[{'role': 'user', 'content': 'describer: rabbit ears\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",E
1653,1,6,69,"[{'role': 'user', 'content': 'describer: grad lectern\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",D
1654,1,6,70,"[{'role': 'user', 'content': 'describer: preacher\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",C
1655,1,6,71,"[{'role': 'user', 'content': 'describer: mouse\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",B
1656,1,6,72,"[{'role': 'user', 'content': 'describer: you did awesome!\ndescriber: spy\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",A
7102,1,1,1,"[{'role': 'user', 'content': ""matcher: hello! :-)\ndescriber: ok, so a diamond for the head and a full body with the point towards the right?\ndescriber: hello there\ndescriber: this moight be tough, but i will try my best\nmatcher: okay so like if the picture had  'hands' they would be pointing to the right?\ndescriber: point is at the bottom\ndescriber: no hands\ndescriber: almost looks like they are sitting\nmatcher: so the bottom part of the picture is pointing right and the rest of the body is straight?\ndescriber: yes, i think\n""}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",H
7103,1,1,2,"[{'role': 'user', 'content': 'describer: awesome job\nmatcher: wohoo\ndescriber: ok, diamond is on the left side. looks like two hands on the right one on top and the other lower. the body all the way to the left\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",G
7104,1,1,3,"[{'role': 'user', 'content': 'describer: yes\ndescriber: looks like he is standing on one leg\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",I
7105,1,1,4,"[{'role': 'user', 'content': 'describer: straight out behind\ndescriber: sorry\ndescriber: standing on one leg. diamond on the back\ndescriber: beak in the front\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",A
7106,1,1,5,"[{'role': 'user', 'content': 'describer: sitting with leg out,  bent a bit\nmatcher: no arms out?\ndescriber: no arms\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",F
7107,1,1,6,"[{'role': 'user', 'content': 'describer: arms raised like a ghost\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",C
7108,1,1,7,"[{'role': 'user', 'content': 'describer: diamond as head with point on top. almost a full rectangle as a body, but an indent on the bottom pointing in\ndescriber: top as a point going out on the right side\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",J
7109,1,1,8,"[{'role': 'user', 'content': 'describer: ha, these are hard to describe!\nmatcher: yah but you are doing good\ndescriber: two triangles on top of a square for head\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",E
7110,1,1,9,"[{'role': 'user', 'content': 'describer: thanks\ndescriber: zig zag body diamond on top\ndescriber: looks like an s\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",L
7111,1,1,10,"[{'role': 'user', 'content': 'describer: looks like a priest in a robe\ndescriber: hands pointing left\nmatcher: like he is standing? with feet and hands pointing left?\ndescriber: yes\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",D
7112,1,1,11,"[{'role': 'user', 'content': 'describer: square and triangle on top\ndescriber: small triangle on the bottom left\nmatcher: does it look like someone kneeling with their arms stretched out?\ndescriber: not really\ndescriber: you can see a small triangle on the left hand side on the bottom of the figure\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",B
7113,1,1,12,"[{'role': 'user', 'content': 'describer: looks like someone praying\ndescriber: not the s shaped one\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",K
7114,1,2,13,"[{'role': 'user', 'content': 'describer: someone sitting with their knees up\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",F
7115,1,2,14,"[{'role': 'user', 'content': 'describer: standing on one foot with the other pointed out towards the right\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",I
7116,1,2,15,"[{'role': 'user', 'content': 'describer: looks like a small mountain and a large one with a square and 2 triangles on top\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",E
6073,1,1,1,"[{'role': 'user', 'content': 'matcher: howdy\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",H
7372,1,1,2,"[{'role': 'user', 'content': 'matcher: hi\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",B
5961,1,1,1,"[{'role': 'user', 'content': ""describer: hello there.  so, the image you'll want to select it looks almost like a person kneeling on the ground.\n""}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",B
5962,1,1,2,"[{'role': 'user', 'content': 'describer: this one is standing on one leg, with one leg out, almost like an elephant head.\ndescriber: the head looks like an elephant that is.\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",A
5963,1,1,3,"[{'role': 'user', 'content': ""matcher: got one!\ndescriber: this one looks like it's laying in bed, with like half a blanket on them, the rest maybe cut by scissors.\ndescriber: haha, yup!\ndescriber: this is a very rough one to describe .\nmatcher: the one with a triangle on the back?\ndescriber: i don't think so.  the head is right in the middle of it, if the entire shape was filled in, it'd look like they were in a bed.\nmatcher: count how many points are on it\nmatcher: 9?\ndescriber: i think so - just go with your gut, this one is rough for me.\n""}]","[18.0, 20.0, 18.875, 18.0, 20.0, 23.125, 20.125, 18.5, 17.875, 16.875, 17.375, 19.625]",J
5964,1,1,4,"[{'role': 'user', 'content': 'describer: ok, this is the tallest one kneeling down with their arms out it looks like.\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",K
5965,1,1,5,"[{'role': 'user', 'content': 'describer: this one looks like a person flying.\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",C
5966,1,1,6,"[{'role': 'user', 'content': ""describer: ok, not the kneeling one from last time, but the other one kneeling that's tall.\n""}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",L
5967,1,1,7,"[{'role': 'user', 'content': 'describer: the one that looks like the trix rabbit ears.  the one you thought it was when i gave that horrible bed description.\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",E
5968,1,1,8,"[{'role': 'user', 'content': 'describer: ok, pretty much completely shapeless person.\nmatcher: the one with the diamond on top pointing up?\ndescriber: yeah\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",H
5969,1,1,9,"[{'role': 'user', 'content': ""describer: bah, i'm no good at this.\nmatcher: it's hard\ndescriber: ok, so...this one is the other one with odd ears, not the previous.\ndescriber: almost like a person laying back\ndescriber: there's a square on one side, and an odd shape on the other side.\nmatcher: is the square pointing right and slightly to the bottom?\ndescriber: angled downward.  it isn't the one that looks like the guy is standing up.\n""}]","[18.5, 19.75, 19.875, 18.375, 20.5, 21.75, 21.125, 19.25, 18.25, 17.625, 18.5, 19.625]",G
5970,1,1,10,"[{'role': 'user', 'content': 'matcher: i should have went with my gut on that one\ndescriber: haha, just do that from now on, this is rough.\ndescriber: ok, so this pretty much looks like a guy sitting, his legs angled a little upward, his head looking down.\n'}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",F
5971,1,1,11,"[{'role': 'user', 'content': ""describer: balancing on one leg, one foot behind him like he's throwing a kick\nmatcher: the one with the two triangles pointing to the left?\ndescriber: yup.\n""}]","[9.4375, 4.625, 5.34375, 5.03125, 4.8125, 2.484375, 7.125, 4.65625, 8.8125, 4.4375, 6.40625, 8.625]",I
